Name,Team,IP,K%,BB%,BABIP,GB%,LD%,FB%,IFFB%,EV,Soft%,Med%,Hard%,FB%,SL%,CT%,CB%,CH%,SF%,KN%,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Swing%,Contact%,Zone%,F-Strike%,SwStr%,LOB%,FBv,SLv,CTv,CBv,CHv,SFv,KNv,Z-Swing%,O-Contact%,Z-Contact%,Pace,playerid
Aaron Laffey,- - -,122,0.12,0.099,0.294,0.486,0.202,0.311,0.095,,0.149,0.557,0.294,0.553,0.058,0.243,0.027,0.119,,,-0.2,1.2,-0.29,-2.64,-3.75,,,0.244,0.423,0.861,0.43,0.503,0.059,0.718,85.8,77.5,84.8,74.4,80.2,,,0.662,0.717,0.931,22.6,6248
Roberto Hernandez,- - -,793.2,0.14,0.076,0.288,0.532,0.184,0.285,0.101,88.9,0.177,0.532,0.291,0.639,0.146,,,0.215,,,-0.63,-1.28,,,0.45,,,0.304,0.455,0.835,0.448,0.583,0.075,0.677,91.6,85.4,,,84.6,,,0.641,0.718,0.903,22.8,3273
Joe Musgrove,- - -,419.1,0.208,0.056,0.305,0.442,0.206,0.352,0.092,88.4,0.19,0.458,0.352,0.487,0.239,0.086,0.073,0.114,,,-0.57,0.77,-0.28,-0.85,-0.48,,,0.345,0.508,0.777,0.475,0.655,0.113,0.674,92.5,83,89,81.1,84.8,,,0.687,0.607,0.872,24.3,12970
Colin Rea,- - -,133.1,0.182,0.093,0.291,0.453,0.229,0.318,0.086,90.3,0.155,0.51,0.335,0.599,0,0.175,0.177,,0.049,,-0.06,-3.82,-0.05,-0.41,,-3.31,,0.247,0.419,0.85,0.424,0.581,0.062,0.663,91.8,84,87.1,78,,83.7,,0.651,0.716,0.92,21.3,12317
Jeff Locke,- - -,650.2,0.165,0.092,0.3,0.498,0.214,0.288,0.081,88.2,0.187,0.52,0.293,0.636,0.01,,0.142,0.212,,,-0.43,-3.69,,-0.49,0.19,,,0.279,0.442,0.805,0.424,0.599,0.086,0.692,90.8,83.7,,79,80.9,,,0.664,0.683,0.875,21.5,2929
Vince Velasquez,- - -,493.2,0.252,0.089,0.312,0.362,0.223,0.415,0.11,89.4,0.159,0.476,0.365,0.656,0.135,,0.136,0.073,,,0.34,-0.89,,-1.34,-2.72,,,0.3,0.475,0.773,0.462,0.602,0.108,0.722,93.9,85.1,,81.3,87.6,,,0.679,0.643,0.84,25.1,11189
Josh Tomlin,- - -,848.1,0.164,0.034,0.283,0.385,0.219,0.396,0.092,88.4,0.17,0.51,0.321,0.418,0.006,0.327,0.162,0.087,,,-0.81,1.18,-0.26,0.34,-0.36,,,0.333,0.484,0.83,0.454,0.659,0.082,0.697,88.3,81.9,85.4,74.9,82,,,0.666,0.71,0.902,20.8,9388
Jakob Junis,Royals,445.1,0.208,0.063,0.304,0.418,0.213,0.369,0.08,89.4,0.15,0.444,0.406,0.529,0.397,,0.017,0.057,,,-0.93,0.75,,-4.18,-1.74,,,0.302,0.457,0.794,0.452,0.621,0.094,0.725,91.3,81.6,,77.4,84.2,,,0.646,0.621,0.892,21,13619
Randy Wells,Cubs,345,0.155,0.084,0.299,0.445,0.204,0.351,0.085,,0.196,0.519,0.286,0.527,0.252,0.044,,0.178,,,-1.34,1.81,0.68,,-0.9,,,0.302,0.455,0.793,0.418,0.587,0.093,0.718,89,83.2,85.6,,82.7,,,0.667,0.648,0.885,20.5,4535
Samuel Deduno,- - -,238.1,0.153,0.114,0.289,0.586,0.198,0.216,0.063,93.7,0.153,0.537,0.311,0.592,0.053,,0.242,0.114,,,-0.22,2.15,,-0.43,-2.35,,,0.238,0.411,0.813,0.446,0.535,0.077,0.719,90.1,82.2,,80.9,84,,,0.626,0.583,0.922,21.9,5285
Vin Mazzaro,- - -,153.2,0.139,0.098,0.3,0.448,0.211,0.341,0.095,,0.179,0.512,0.309,0.594,0.255,,0.055,0.097,,,-0.87,1.03,,-0.31,-1.1,,,0.273,0.435,0.844,0.45,0.578,0.068,0.705,91.4,84.6,,79.4,85.1,,,0.633,0.72,0.909,19.4,5231
Nick Tepesch,- - -,234,0.14,0.076,0.289,0.437,0.227,0.337,0.108,89.2,0.173,0.517,0.311,0.542,,0.261,0.151,0.046,,,-0.62,,-0.03,-1.37,-5.24,,,0.313,0.459,0.847,0.418,0.593,0.07,0.702,90.2,,85.1,78.1,84.1,,,0.662,0.734,0.921,21.1,11716
Reynaldo Lopez,- - -,449.2,0.195,0.086,0.291,0.338,0.208,0.455,0.145,88.4,0.199,0.47,0.331,0.601,0.159,,0.083,0.157,,,-0.15,-0.04,,-0.96,-0.87,,,0.289,0.48,0.791,0.457,0.598,0.1,0.707,95.4,84,,77.4,83.9,,,0.706,0.688,0.842,24.6,16400
Mike Bolsinger,- - -,212,0.203,0.094,0.316,0.508,0.193,0.299,0.064,88.7,0.159,0.525,0.316,0.501,0.152,,0.332,0.015,,,-1.27,1.26,,-0.53,-2.15,,,0.283,0.416,0.79,0.458,0.594,0.087,0.703,87.6,80,,79.2,82.9,,,0.575,0.588,0.908,21.8,11137
Matt Wisler,- - -,296,0.17,0.077,0.287,0.358,0.229,0.413,0.099,89.5,0.17,0.488,0.343,0.591,0.288,,0.053,0.067,,,-0.42,1.14,,-2.8,-3.15,,,0.303,0.476,0.81,0.443,0.58,0.09,0.719,93,82.2,,76.6,86.9,,,0.693,0.648,0.9,21.7,12804
Mike Pelfrey,- - -,970,0.127,0.082,0.316,0.479,0.205,0.315,0.098,88.6,0.202,0.523,0.275,0.685,0.104,0.007,0.066,,0.137,,-0.37,-1.19,-2.53,0.28,,-1,,0.266,0.443,0.865,0.441,0.596,0.059,0.7,92.4,84.2,87.8,73.6,,83.1,,0.669,0.771,0.913,23.1,5203
Martin Perez,- - -,895.1,0.146,0.081,0.313,0.504,0.218,0.278,0.082,87.9,0.16,0.522,0.319,0.571,0.083,0.056,0.089,0.201,,,-0.49,-1.06,1.36,-1.27,0.24,,,0.322,0.465,0.826,0.416,0.62,0.081,0.685,92.7,84.8,88.5,78.8,84.6,,,0.665,0.72,0.898,22.7,6902
Lucas Harrell,- - -,390,0.156,0.108,0.303,0.533,0.211,0.256,0.091,89.4,0.171,0.594,0.236,0.687,0.009,0.116,0.096,0.092,,,-0.29,-0.46,-0.33,-1.34,-0.78,,,0.281,0.405,0.853,0.402,0.564,0.06,0.684,92.1,87.4,88.2,81.8,83,,,0.59,0.759,0.919,20.6,7541
Zack Godley,Diamondbacks,447.1,0.226,0.096,0.313,0.501,0.209,0.29,0.071,89.1,0.174,0.466,0.361,0.33,,0.249,0.354,0.067,,,-1.12,,-0.45,1.25,-0.64,,,0.324,0.446,0.733,0.394,0.586,0.119,0.688,90.7,,89.4,82,82.7,,,0.633,0.538,0.887,24.1,14862
Tyler Anderson,Rockies,392,0.216,0.074,0.304,0.425,0.229,0.346,0.106,86.5,0.222,0.466,0.313,0.454,0.074,0.186,0.024,0.262,,,-0.52,0.02,-0.31,0.84,-0.35,,,0.308,0.495,0.769,0.48,0.644,0.114,0.713,91.6,86.4,87.6,74,81.6,,,0.698,0.614,0.842,22.9,12880
Tommy Hunter,- - -,312.1,0.123,0.05,0.281,0.423,0.195,0.382,0.102,,0.179,0.517,0.304,0.541,0,0.234,0.162,0.063,,,-1.29,-8.55,0.54,0.42,-2.63,,,0.32,0.477,0.876,0.482,0.626,0.059,0.739,91.1,84,87.8,77.4,83.7,,,0.647,0.768,0.933,20.7,1157
Derek Lowe,- - -,499.2,0.143,0.08,0.321,0.592,0.188,0.22,0.044,,0.187,0.544,0.27,0.586,0.19,0.075,,0.149,,,-0.53,0.45,-0.71,,-0.24,,,0.292,0.424,0.817,0.391,0.561,0.077,0.685,88.2,80.5,85.8,,83.5,,,0.63,0.695,0.906,18.8,199
Andrew Suarez,Giants,170.1,0.192,0.073,0.302,0.501,0.226,0.273,0.064,89.7,0.169,0.418,0.414,0.512,0.233,,0.135,0.121,,,-0.29,-0.32,,-1.48,0.81,,,0.302,0.455,0.835,0.429,0.616,0.075,0.689,92.2,88.3,,76.8,86,,,0.658,0.726,0.902,20.8,18300
Kyle Kendrick,- - -,938,0.135,0.063,0.29,0.45,0.194,0.355,0.091,89,0.175,0.517,0.309,0.51,,0.249,0.045,0.196,,,-0.58,,-0.61,-3.07,-0.61,,,0.298,0.455,0.854,0.443,0.624,0.066,0.697,89.7,,86.7,78.1,82,,,0.652,0.759,0.908,23.3,6230
Pablo Lopez,Marlins,170,0.197,0.063,0.293,0.484,0.213,0.303,0.13,87.5,0.183,0.466,0.352,0.593,,,0.197,0.21,,,0,,,-0.75,1.08,,,0.327,0.482,0.784,0.437,0.581,0.104,0.693,93.2,,,79.4,85.6,,,0.683,0.667,0.856,22,17085
Kevin Correia,- - -,806,0.132,0.066,0.301,0.461,0.209,0.33,0.07,91.5,0.168,0.529,0.303,0.442,0.06,0.248,0.13,0.12,,,-0.75,-0.34,-0.39,-0.81,-0.64,,,0.299,0.456,0.863,0.432,0.595,0.062,0.693,90.3,85.6,88,77.4,85.6,,,0.663,0.776,0.915,23.7,1767
Zach Eflin,Phillies,413.1,0.174,0.062,0.293,0.42,0.208,0.372,0.092,88,0.178,0.484,0.337,0.597,0.24,0.013,0.063,0.087,,,-0.42,0.12,-1.69,-1.62,-1.43,,,0.311,0.48,0.82,0.461,0.655,0.087,0.696,93.4,85.9,89.9,77.5,86.5,,,0.678,0.712,0.877,21.6,13774
Robert Stephenson,Reds,105.2,0.202,0.139,0.296,0.363,0.238,0.399,0.107,89.5,0.144,0.468,0.388,0.554,0.183,,0.083,0.181,,,-1.8,1.14,,1.22,-0.05,,,0.298,0.458,0.75,0.418,0.532,0.114,0.727,93.1,84.6,,80.1,84.8,,,0.68,0.615,0.833,24,13594
Daniel Mengden,Athletics,260,0.176,0.075,0.275,0.385,0.227,0.388,0.085,89,0.165,0.487,0.348,0.543,0.088,0.121,0.113,0.136,,,-0.41,1.65,-0.82,0.35,-0.41,,,0.285,0.455,0.823,0.461,0.617,0.081,0.677,91.9,83.2,86.1,73.1,81.7,,,0.654,0.69,0.89,24.6,16980
Spencer Turnbull,Tigers,163.2,0.222,0.087,0.333,0.478,0.205,0.317,0.053,90,0.133,0.449,0.418,0.646,0.196,,0.127,0.032,,,0.07,0.13,,-1.36,-0.28,,,0.311,0.468,0.775,0.403,0.601,0.105,0.668,93.8,86.6,,80.5,86.9,,,0.701,0.618,0.878,23.4,16207
Dylan Bundy,Orioles,574.2,0.232,0.079,0.291,0.364,0.203,0.434,0.114,88.7,0.172,0.495,0.334,0.541,0.204,,0.108,0.147,,,-0.85,1.19,,-0.42,0.11,,,0.336,0.492,0.754,0.451,0.612,0.121,0.72,92,81.9,,75.1,83.9,,,0.682,0.591,0.852,22.1,12917
Cody Anderson,Indians,137,0.143,0.066,0.291,0.428,0.228,0.344,0.129,88.4,0.204,0.5,0.296,0.576,0.091,0.021,0.078,0.234,,,-0.46,1.46,-8.47,-0.66,0.08,,,0.321,0.503,0.82,0.46,0.593,0.09,0.713,92.9,89,90.6,80.8,84.4,,,0.717,0.69,0.888,21.7,12799
Alfredo Simon,- - -,529,0.15,0.08,0.292,0.457,0.211,0.331,0.104,89.6,0.177,0.522,0.301,0.518,0.013,0.105,0.125,,0.238,,-0.39,-5.03,-0.61,-1.28,,-0.67,,0.3,0.463,0.824,0.45,0.581,0.081,0.704,93.5,89.6,88.4,77.5,,84.1,,0.662,0.705,0.89,23.1,2155
Ben Lively,Phillies,112.1,0.152,0.07,0.305,0.358,0.209,0.433,0.127,86,0.226,0.462,0.313,0.611,0.121,,0.221,0.047,,,-0.44,-0.56,,-0.4,-4.13,,,0.275,0.457,0.839,0.488,0.585,0.074,0.73,91.3,82.1,,75.5,85.1,,,0.648,0.736,0.884,20.6,14932
Chris Narveson,- - -,334.1,0.185,0.087,0.294,0.407,0.204,0.389,0.103,88.9,0.211,0.522,0.268,0.463,0.1,,0.16,0.277,,,0.01,-1.43,,0.19,-0.6,,,0.288,0.437,0.789,0.431,0.594,0.092,0.688,88,84,,73.6,80.4,,,0.633,0.655,0.869,20.3,2141
Justin Nicolino,Marlins,177.1,0.094,0.065,0.305,0.445,0.221,0.334,0.062,89.1,0.176,0.502,0.321,0.548,,0.152,0.116,0.184,,,-0.77,,-1.29,-0.66,0.51,,,0.304,0.474,0.891,0.479,0.633,0.051,0.699,89.2,,86.1,76.5,82.2,,,0.659,0.833,0.921,21.8,11754
Rodrigo Lopez,- - -,288,0.13,0.063,0.293,0.381,0.227,0.392,0.099,,0.185,0.505,0.31,0.529,0.202,0.064,0.051,0.154,,,-0.56,-1.08,0.31,-2.85,-3.64,,,0.292,0.463,0.882,0.479,0.653,0.055,0.704,88.1,80.6,88.5,74.9,82.7,,,0.648,0.792,0.926,21.8,150
Brad Penny,- - -,256.1,0.106,0.073,0.313,0.506,0.18,0.314,0.064,,0.195,0.553,0.252,0.596,0.024,,0.136,0.076,0.168,,-0.76,-2.61,,-1.73,-0.22,0.39,,0.27,0.443,0.882,0.441,0.538,0.052,0.679,92.7,87.8,,78.2,85,88.1,,0.661,0.808,0.92,25,535
Jerome Williams,- - -,442,0.151,0.072,0.31,0.496,0.206,0.298,0.071,88.8,0.152,0.543,0.305,0.512,,0.253,0.093,0.141,,,-1.11,,0.34,-1.09,-0.23,,,0.327,0.472,0.815,0.42,0.597,0.087,0.7,91.4,,88.4,78.9,84.2,,,0.673,0.692,0.897,20.5,1137
Zack Britton,Orioles,250,0.15,0.101,0.31,0.549,0.184,0.267,0.047,,0.205,0.527,0.268,0.697,0.157,,,0.146,,,-0.65,1.16,,,-0.25,,,0.252,0.418,0.819,0.427,0.525,0.075,0.655,92,81.7,,,86.1,,,0.641,0.648,0.909,21,3240
Brad Hand,Marlins,222,0.139,0.094,0.288,0.431,0.189,0.38,0.051,90.2,0.178,0.543,0.279,0.669,0.028,,0.167,0.136,,,-0.24,0.4,,-0.52,-2.42,,,0.267,0.43,0.841,0.432,0.547,0.068,0.705,91.3,84.2,,78.7,84.1,,,0.644,0.726,0.905,21.5,9111
Edwin Jackson,- - -,1204.1,0.187,0.084,0.312,0.448,0.211,0.341,0.078,88.7,0.163,0.512,0.325,0.535,0.282,0.073,0.047,0.063,,,-0.85,0.27,-0.72,-1.86,-0.55,,,0.294,0.465,0.779,0.44,0.571,0.102,0.679,93.5,86.1,91.3,79,86.5,,,0.683,0.598,0.879,24.3,1841
Odrisamer Despaigne,- - -,273,0.143,0.076,0.295,0.463,0.233,0.303,0.071,87.3,0.181,0.53,0.289,0.56,0.02,0.17,0.147,0.103,,,0.13,3.37,-1.11,-1.53,-0.83,,,0.27,0.451,0.847,0.439,0.598,0.069,0.649,91.3,81.8,86.4,73,76.9,,,0.684,0.757,0.893,22,16017
Tyler Mahle,Reds,261.2,0.219,0.085,0.313,0.439,0.225,0.335,0.077,89.4,0.146,0.48,0.375,0.624,0.11,0.033,0.115,0.056,0.064,,0.03,-0.73,-4.56,-0.36,-4.34,1.31,,0.296,0.46,0.795,0.45,0.653,0.094,0.723,92.9,83.5,90.1,80.4,83.5,87.2,,0.66,0.683,0.856,22,16358
Steven Brault,Pirates,171.1,0.182,0.101,0.303,0.446,0.201,0.352,0.103,89.7,0.206,0.444,0.35,0.665,0.196,,0.014,0.125,,,-0.44,-0.83,,-3.84,0.87,,,0.292,0.451,0.786,0.413,0.546,0.096,0.705,91.6,83.1,,74.3,84.5,,,0.678,0.656,0.866,23.2,15291
Tim Adleman,Reds,175,0.188,0.086,0.276,0.359,0.196,0.446,0.07,88.1,0.162,0.483,0.355,0.613,,0.034,0.16,0.194,,,-0.57,,-0.75,-0.59,-0.71,,,0.278,0.477,0.783,0.481,0.624,0.103,0.753,90.4,,88.9,74.6,84.1,,,0.691,0.655,0.839,21.8,10968
Brian Duensing,Twins,294,0.152,0.063,0.322,0.459,0.196,0.345,0.094,,0.194,0.511,0.295,0.597,0.169,,0.085,0.149,,,-1.28,1.32,,-1.42,0.1,,,0.293,0.46,0.833,0.47,0.598,0.077,0.667,91.2,82.5,,73.4,84,,,0.648,0.686,0.907,21.4,4064
Adam Plutko,Indians,172.2,0.179,0.062,0.264,0.284,0.203,0.513,0.122,88.2,0.181,0.452,0.366,0.556,0.228,,0.106,0.11,,,-0.6,0.58,,-0.17,-1.41,,,0.337,0.497,0.826,0.418,0.621,0.086,0.754,91.1,84.5,,76.7,84.2,,,0.719,0.731,0.888,22.3,15846
Chad Bettis,Rockies,507.1,0.168,0.082,0.306,0.502,0.209,0.29,0.052,88.3,0.172,0.515,0.313,0.539,,0.157,0.125,0.178,,,-0.73,,-0.43,-0.44,-0.17,,,0.291,0.448,0.801,0.421,0.616,0.089,0.689,91.5,,86.2,74.9,85.8,,,0.664,0.64,0.898,20.6,10587
Domingo German,Yankees,203,0.256,0.073,0.275,0.387,0.208,0.405,0.096,89,0.175,0.416,0.409,0.462,,,0.362,0.177,,,-0.75,,,0.17,-0.13,,,0.348,0.487,0.722,0.422,0.615,0.135,0.711,93.9,,,81.8,87.2,,,0.677,0.577,0.825,21.7,17149
Rafael Montero,Mets,155.1,0.206,0.12,0.329,0.438,0.202,0.36,0.142,84.1,0.216,0.525,0.259,0.597,0.226,,,0.178,,,-0.54,-0.55,,,-0.26,,,0.31,0.443,0.783,0.398,0.633,0.096,0.741,93,83.2,,,87.4,,,0.645,0.68,0.857,23.2,12760
Jeanmar Gomez,- - -,235,0.123,0.078,0.294,0.493,0.196,0.312,0.071,,0.159,0.539,0.302,0.617,0.183,0.045,0.003,0.153,,,-0.87,-0.85,-1.44,7.34,-0.67,,,0.273,0.42,0.841,0.432,0.59,0.066,0.672,90.3,83.9,87.3,76.8,82.5,,,0.613,0.706,0.92,21.8,9033
Jharel Cotton,Athletics,158.1,0.189,0.084,0.265,0.371,0.163,0.467,0.152,86.9,0.218,0.474,0.308,0.472,,0.217,0.085,0.227,,,-0.2,,-0.99,-0.74,0.23,,,0.287,0.478,0.787,0.474,0.605,0.102,0.668,92.9,,88.5,77.3,77.7,,,0.691,0.673,0.84,24.4,13654
Matthew Boyd,- - -,637.2,0.229,0.072,0.298,0.343,0.199,0.458,0.126,88,0.185,0.453,0.362,0.531,0.24,,0.108,0.121,,,-0.59,0.86,,-0.79,-0.66,,,0.317,0.481,0.773,0.445,0.61,0.109,0.708,91.4,80.9,,73.3,79.7,,,0.687,0.658,0.84,22.5,15440
Kevin Slowey,- - -,283.1,0.172,0.041,0.312,0.282,0.234,0.484,0.087,,0.182,0.481,0.337,0.624,0.164,,0.122,0.09,,,-0.33,0.67,,-2.29,-2.56,,,0.307,0.484,0.865,0.493,0.674,0.065,0.688,89.3,83,,74.7,83.5,,,0.666,0.777,0.907,20.9,9918
Joe Blanton,- - -,538,0.19,0.05,0.326,0.447,0.211,0.342,0.086,90.7,0.168,0.519,0.313,0.498,0.115,0.093,0.097,0.196,,,-1.39,0.28,-0.2,0.37,-0.64,,,0.327,0.47,0.795,0.472,0.634,0.095,0.69,89.7,83.1,86.5,77.2,82.9,,,0.629,0.653,0.878,19,4849
Robbie Erlin,Padres,198.2,0.18,0.052,0.319,0.408,0.265,0.327,0.116,88.7,0.163,0.507,0.33,0.604,0.059,0.001,0.177,0.16,,,-0.42,-3.06,-3.44,0.24,1.09,,,0.295,0.47,0.821,0.474,0.626,0.084,0.638,89.8,83,89.5,74.3,82.9,,,0.664,0.714,0.874,21,10354
David Buchanan,Phillies,192.1,0.135,0.071,0.319,0.493,0.213,0.294,0.137,90.1,0.186,0.519,0.295,0.42,,0.26,0.112,0.208,,,-2.51,,0.32,-0.48,0.71,,,0.286,0.466,0.837,0.445,0.588,0.076,0.696,90,,89.1,77.8,81.5,,,0.69,0.691,0.912,20.4,11176
Jason Marquis,- - -,483.1,0.142,0.089,0.306,0.527,0.204,0.27,0.056,90.5,0.167,0.54,0.293,0.55,0.238,0.058,0.001,0.107,0.046,,-1.14,-0.25,-2.55,-34.14,-0.89,-0.21,,0.266,0.42,0.82,0.399,0.563,0.075,0.691,88.4,82.4,86.4,77.3,81,77.2,,0.651,0.702,0.893,22.6,105
Nick Martinez,Rangers,373,0.127,0.081,0.283,0.394,0.21,0.396,0.111,88,0.169,0.524,0.308,0.616,0.14,0.038,0.097,0.109,,,-0.98,-0.94,1.19,-1.87,-0.33,,,0.303,0.439,0.845,0.423,0.567,0.068,0.702,91.1,82.8,89.4,77.5,83.9,,,0.624,0.751,0.908,22.1,12730
Sam Gaviglio,- - -,189.2,0.173,0.074,0.301,0.494,0.186,0.32,0.067,88.7,0.168,0.506,0.327,0.562,0.257,,0.082,0.099,,,-1.45,0,,0.4,-0.86,,,0.278,0.438,0.811,0.442,0.634,0.083,0.715,88.1,83,,78.6,83.1,,,0.639,0.645,0.902,23.7,12778
Chi Chi Gonzalez,- - -,128.2,0.128,0.119,0.263,0.46,0.236,0.305,0.086,87.9,0.171,0.501,0.328,0.605,0.229,,0.07,0.096,,,-0.24,0.74,,-1.96,-1.25,,,0.269,0.439,0.838,0.426,0.579,0.071,0.686,91.7,86.8,,81.3,86.2,,,0.668,0.744,0.889,21.9,14663
Dontrelle Willis,- - -,139.1,0.16,0.142,0.315,0.511,0.216,0.273,0.095,,0.204,0.529,0.268,0.681,0.186,,0.069,0.063,,,-0.51,-1.05,,0.53,-0.63,,,0.256,0.414,0.834,0.447,0.554,0.068,0.728,87.7,80.8,,75.6,80,,,0.608,0.72,0.894,21.2,1703
Trent Thornton,Blue Jays,139.1,0.217,0.095,0.313,0.31,0.286,0.403,0.112,88.1,0.199,0.436,0.365,0.473,0.16,0.162,0.12,0.085,,,-0.36,-0.03,-1.45,-0.78,0.98,,,0.311,0.438,0.78,0.387,0.597,0.096,0.723,92.9,80.7,88.1,79.6,83.3,,,0.64,0.638,0.889,23.1,17948
Luis Perdomo,Padres,326.2,0.163,0.08,0.33,0.588,0.189,0.222,0.064,89.1,0.177,0.486,0.338,0.646,0.28,,,0.074,,,-0.25,-0.55,,,-2.01,,,0.293,0.447,0.812,0.443,0.614,0.084,0.677,93.8,84.2,,,87.2,,,0.641,0.656,0.902,21.9,14682
Mitch Talbot,Indians,223,0.125,0.098,0.319,0.462,0.192,0.346,0.084,,0.178,0.533,0.288,0.481,0.097,0.268,0,0.154,,,-0.73,-0.89,-1.1,5.34,-0.94,,,0.267,0.433,0.868,0.435,0.533,0.057,0.693,90.7,83.6,89.5,,79.6,,,0.65,0.767,0.922,22.8,4961
Franklin Morales,- - -,169.1,0.173,0.1,0.3,0.421,0.232,0.346,0.119,,0.151,0.512,0.338,0.584,0.185,,0.126,0.106,,,-0.92,-0.64,,-1.22,-0.65,,,0.278,0.451,0.811,0.445,0.558,0.085,0.707,92.1,86.8,,74.1,83,,,0.666,0.676,0.881,23.5,5088
Craig Stammen,Nationals,105,0.132,0.07,0.314,0.497,0.233,0.27,0.042,,0.119,0.584,0.298,0.562,0.233,,0.134,0.071,,,-0.6,-0.44,,-0.98,0.99,,,0.334,0.461,0.798,0.401,0.566,0.092,0.643,90.4,85.3,,78.9,83.7,,,0.651,0.695,0.877,22.4,7274
Matt Strahm,- - -,106.2,0.241,0.048,0.306,0.331,0.219,0.45,0.093,89.4,0.163,0.398,0.439,0.433,0.285,,0.141,0.141,,,-1.19,-0.34,,1.9,0.15,,,0.317,0.496,0.775,0.496,0.659,0.112,0.717,91.7,85.5,,79.2,84.1,,,0.677,0.659,0.83,25.2,13799
Williams Perez,Braves,167,0.134,0.085,0.302,0.529,0.182,0.288,0.044,90,0.163,0.544,0.293,0.727,,,0.128,0.145,,,0.02,,,-2.02,-0.71,,,0.26,0.431,0.86,0.435,0.592,0.06,0.683,90.8,,,76.7,79.1,,,0.653,0.771,0.907,20,11592
Sal Romano,Reds,218.1,0.173,0.089,0.297,0.47,0.21,0.319,0.114,88.3,0.196,0.452,0.353,0.646,0.03,,0.251,0.073,,,-0.57,1.74,,-0.35,-2.28,,,0.28,0.448,0.817,0.448,0.567,0.082,0.685,94.6,88.4,,86.4,88.3,,,0.655,0.671,0.894,22.6,13690
Armando Galarraga,- - -,209.1,0.128,0.098,0.263,0.385,0.148,0.467,0.088,,0.199,0.467,0.334,0.549,0.35,,0,0.101,,,-1.11,-0.89,,-3.73,-0.91,,,0.278,0.452,0.833,0.442,0.579,0.076,0.71,90.4,86,,79,83,,,0.672,0.67,0.917,22.2,4222
Jordan Lyles,- - -,776.2,0.173,0.078,0.307,0.478,0.203,0.319,0.09,88.8,0.174,0.514,0.312,0.577,0.093,0.061,0.184,0.085,,,-0.43,-0.95,-0.83,-0.67,-1.48,,,0.309,0.458,0.825,0.413,0.607,0.08,0.657,91.8,87.1,86.2,80.2,82.8,,,0.669,0.705,0.903,21.2,7593
Luke Hochevar,Royals,483.1,0.167,0.077,0.297,0.467,0.201,0.333,0.095,,0.177,0.534,0.289,0.542,0.108,0.135,0.145,0.065,0.005,,-0.6,1.74,0.75,-1.41,-2.27,-1.77,,0.278,0.45,0.805,0.469,0.571,0.087,0.644,92.9,84.7,88.6,77.6,83.1,84.2,,0.645,0.657,0.877,21.2,6943
Drew Hutchison,- - -,428.1,0.208,0.075,0.313,0.385,0.22,0.395,0.094,87.9,0.172,0.513,0.315,0.665,0.222,,,0.113,,,-0.43,-0.61,,,-1.76,,,0.316,0.471,0.79,0.433,0.604,0.099,0.686,92,84.3,,,85.1,,,0.673,0.664,0.868,21.6,10732
Carlos Villanueva,- - -,275,0.177,0.063,0.302,0.36,0.229,0.41,0.099,,0.14,0.557,0.302,0.474,0.185,,0.126,0.215,,,-0.47,-0.76,,-0.21,-0.44,,,0.303,0.455,0.807,0.436,0.583,0.088,0.682,88.3,81.9,,73.4,80.6,,,0.65,0.683,0.881,23.8,4138
Juan Nicasio,- - -,424.2,0.183,0.083,0.315,0.441,0.218,0.341,0.099,88.2,0.188,0.518,0.294,0.716,0.216,,,0.068,,,-0.49,-0.76,,,-3.43,,,0.258,0.445,0.826,0.464,0.6,0.077,0.68,92.7,84,,,84.9,,,0.662,0.71,0.878,22.6,7731
Dylan Axelrod,- - -,179.2,0.157,0.076,0.312,0.408,0.209,0.383,0.083,,0.149,0.518,0.333,0.454,0.305,,0.109,0.132,,,-1.68,-0.51,,-0.46,-0.34,,,0.279,0.441,0.801,0.409,0.594,0.087,0.73,88.2,81.8,,73.8,81,,,0.674,0.646,0.894,20.5,9303
Jamie Moyer,- - -,165.1,0.139,0.053,0.273,0.436,0.162,0.402,0.094,,0.183,0.522,0.295,0.419,,0.284,0.077,0.221,,,-1.03,,-0.01,-2.39,0.05,,,0.272,0.426,0.834,0.419,0.584,0.071,0.665,80.3,,77.7,69.3,73.3,,,0.641,0.703,0.911,19.6,1091
Philip Humber,- - -,288.1,0.167,0.073,0.294,0.439,0.187,0.374,0.081,,0.189,0.543,0.268,0.49,0.194,,0.196,0.12,,,-0.94,0.03,,0.34,0.72,,,0.277,0.455,0.807,0.468,0.633,0.087,0.678,90.3,83.4,,79.3,84.2,,,0.657,0.636,0.889,20.6,8586
Michael Lorenzen,Reds,119.1,0.153,0.111,0.321,0.435,0.267,0.298,0.061,88.6,0.166,0.546,0.288,0.632,0.145,0.034,0.11,0.078,,,-1.27,0.54,-0.12,-1.34,-3.32,,,0.296,0.46,0.817,0.429,0.565,0.083,0.745,94,85.6,91.2,80.4,85.2,,,0.677,0.718,0.875,19.5,14843
Daisuke Matsuzaka,- - -,321,0.194,0.112,0.282,0.344,0.203,0.453,0.109,,0.18,0.513,0.308,0.516,0.2,0.173,0.036,0.054,0.023,,-0.42,-0.4,0.86,-0.23,-0.16,-3.79,,0.277,0.455,0.828,0.467,0.568,0.078,0.66,91.1,80.8,89.5,73.9,80.9,82.5,,0.658,0.721,0.88,25.3,7775
